N Rounds;Total Clients;Model;Dataset;Optimizer;Learning Rate;Batch Size;Epochs;Client 1 ID;Client 1 CPU;Client 1 RAM;Client 1 Data Distribution;Client 1 Data Persistence;Client 1 Alpha Dirichlet;Client 1 JSD;Client 1 CPU Usage Avg;Client 1 RAM Usage Avg;Client 2 ID;Client 2 CPU;Client 2 RAM;Client 2 Data Distribution;Client 2 Data Persistence;Client 2 Alpha Dirichlet;Client 2 JSD;Client 2 CPU Usage Avg;Client 2 RAM Usage Avg;Round 25%;Val F1 25%;Training Time Avg 25%;Communication Time Avg 25%;Total Round Time 25%;Round 50%;Val F1 50%;Training Time Avg 50%;Communication Time Avg 50%;Total Round Time 50%;Round 75%;Val F1 75%;Training Time Avg 75%;Communication Time Avg 75%;Total Round Time 75%;Avg Training Time;Avg Communication Time;Avg Total Round Time;Final Train Loss;Final Train Accuracy;Final Train F1;Final Val Loss;Final Val Accuracy;Final Val F1 (Last Round);Final Val F1 (Best);AP List (client_selector,message_compressor,heterogeneous_data_handler);Client Selector Strategy;Client Selector Criteria;Client Selector Value;Message Compressor Alg;HDH Batch Size;HDH Beta 1;HDH Beta 2;HDH Discriminator;HDH Epochs;HDH Generator;HDH Learning Rate;HDH Latent Dim;HDH Optimizer;Client 3 ID;Client 3 CPU;Client 3 RAM;Client 3 Data Distribution;Client 3 Data Persistence;Client 3 Alpha Dirichlet;Client 3 JSD;Client 3 CPU Usage Avg;Client 3 RAM Usage Avg;Client 4 ID;Client 4 CPU;Client 4 RAM;Client 4 Data Distribution;Client 4 Data Persistence;Client 4 Alpha Dirichlet;Client 4 JSD;Client 4 CPU Usage Avg;Client 4 RAM Usage Avg;Client 5 ID;Client 5 CPU;Client 5 RAM;Client 5 Data Distribution;Client 5 Data Persistence;Client 5 Alpha Dirichlet;Client 5 JSD;Client 5 CPU Usage Avg;Client 5 RAM Usage Avg;Client 6 ID;Client 6 CPU;Client 6 RAM;Client 6 Data Distribution;Client 6 Data Persistence;Client 6 Alpha Dirichlet;Client 6 JSD;Client 6 CPU Usage Avg;Client 6 RAM Usage Avg;Client 7 ID;Client 7 CPU;Client 7 RAM;Client 7 Data Distribution;Client 7 Data Persistence;Client 7 Alpha Dirichlet;Client 7 JSD;Client 7 CPU Usage Avg;Client 7 RAM Usage Avg;Client 8 ID;Client 8 CPU;Client 8 RAM;Client 8 Data Distribution;Client 8 Data Persistence;Client 8 Alpha Dirichlet;Client 8 JSD;Client 8 CPU Usage Avg;Client 8 RAM Usage Avg;Client 9 ID;Client 9 CPU;Client 9 RAM;Client 9 Data Distribution;Client 9 Data Persistence;Client 9 Alpha Dirichlet;Client 9 JSD;Client 9 CPU Usage Avg;Client 9 RAM Usage Avg;Client 10 ID;Client 10 CPU;Client 10 RAM;Client 10 Data Distribution;Client 10 Data Persistence;Client 10 Alpha Dirichlet;Client 10 JSD;Client 10 CPU Usage Avg;Client 10 RAM Usage Avg
3;10;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;5;2;IID;Same Data;1,0;NaN;NaN;NaN;Client 2;5;2;IID;Same Data;1,0;NaN;263,0;5,0;1;0,6324;0,4599999999999999;0,665;4,75;2;0,6884;0,535;0,73;3,52;3;0,7012;0,535;0,735;3,41;0,5100000000000001;0,71;3,893333333333333;0,73;0,7198;0,7114;0,75;0,7091;0,7012;0,7012;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Client 3;5,0;2,0;IID;Same Data;1,0;NaN;252,0;5,0;Client 4;5,0;2,0;IID;Same Data;1,0;NaN;281,0;5,0;Client 5;5,0;2,0;IID;Same Data;1,0;NaN;280,0;5,0;Client 6;5,0;2,0;IID;Same Data;1,0;NaN;276,0;5,0;Client 7;5,0;2,0;IID;Same Data;1,0;NaN;277,0;5,0;Client 8;5,0;2,0;IID;Same Data;1,0;NaN;NaN;NaN;Client 9;5,0;2,0;IID;Same Data;1,0;NaN;NaN;NaN;Client 10;5,0;2,0;IID;Same Data;1,0;NaN;NaN;NaN
9;2;CNN 16k;CIFAR-10;Adam;0,001;64;1;Client 1;5;2;IID;Same Data;1,0;NaN;333,6666666666667;6,0;Client 2;5;2;IID;Same Data;1,0;NaN;333,0;6,0;3;0,4239;3,745;2,45;11,7;5;0,4375;3,825;2,455;11,79;7;0,4616;3,715;2,455;11,68;3,7338888888888886;2,4483333333333333;11,851111111111113;1,34;0,5157;0,5124;1,4;0,4947;0,4915;0,4915;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
10;5;CNN 16k;CIFAR-10;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1,0;NaN;149,6;5,9;Client 2;2;2;IID;Same Data;1,0;NaN;149,1;5,7;3;0,2026;1,942;1,496;8,0;5;0,2247;2,0919999999999996;1,504;8,09;8;0,2414;1,978;1,496;7,98;1,968;1,4908;8,185;1,09;0,5912;0,4231;3,48;0,3308;0,2471;0,2471;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Client 3;2,0;2,0;IID;Same Data;1,0;NaN;150,5;6,0;Client 4;1,0;2,0;non-IID;Same Data;0,5;NaN;104,2;6,0;Client 5;1,0;2,0;non-IID;Same Data;0,5;NaN;105,3;5,8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
10;5;CNN 16k;CIFAR-10;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1,0;NaN;149,8;5,6;Client 2;2;2;IID;Same Data;1,0;NaN;147,3;5,6;3;0,1794;2,1719999999999997;1,654;8,57;5;0,2193;2,124;1,5;8,19;8;0,2272;1,962;1,496;8,08;2,0151999999999997;1,5228;8,373000000000001;1,12;0,5857;0,4094;3,72;0,3172;0,2367;0,2367;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Client 3;2,0;2,0;IID;Same Data;1,0;NaN;147,7;5,6;Client 4;1,0;2,0;non-IID;Same Data;0,5;NaN;105,8;5,6;Client 5;1,0;2,0;non-IID;Same Data;0,5;NaN;104,0;5,6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
30;2;CNN 16k;CIFAR-10;Adam;0,001;64;1;Client 1;5;2;IID;Same Data;1,0;NaN;326,56666666666666;5,933333333333334;Client 2;5;2;IID;Same Data;1,0;NaN;326,93333333333334;5,966666666666667;8;0,4899;4,045;2,525;12,31;15;0,5117;4,255;2,665;12,81;23;0,5436;3,73;2,505;11,87;3,9523333333333337;2,558;12,220333333333334;1,12;0,6002;0,5994;1,26;0,5518;0,5508;0,5508;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2;2;CNN 16k;CIFAR-10;Adam;0,001;64;1;Client 1;5;2;non-IID;Same Data;0,5;NaN;325,0;6,0;Client 2;5;2;non-IID;Same Data;0,5;NaN;323,0;6,0;1;0,2099;3,81;2,435;13,55;1;0,2099;3,81;2,435;13,55;2;0,2469;3,93;2,53;11,9;3,87;2,4825;12,725;1,26;0,542;0,352;3,26;0,3243;0,2469;0,2469;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2;5;CNN 16k;CIFAR-10;Adam;0,001;64;1;Client 1;2;2;non-IID;Same Data;0,5;NaN;145,5;5,0;Client 2;2;2;non-IID;Same Data;0,5;NaN;147,0;4,5;1;0,0975;2,058;1,538;10,23;1;0,0975;2,058;1,538;10,23;2;0,1194;2,076;1,666;8,28;2,0669999999999997;1,602;9,255;1,34;0,5285;0,1998;3,13;0,2097;0,1194;0,1194;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Client 3;2,0;2,0;non-IID;Same Data;0,5;NaN;146,0;5,0;Client 4;2,0;2,0;non-IID;Same Data;0,5;NaN;145,0;5,0;Client 5;2,0;2,0;non-IID;Same Data;0,5;NaN;145,5;5,0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
30;5;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;5;2;IID;Same Data;1,0;NaN;174,9;4,966666666666667;Client 2;5;2;IID;Same Data;1,0;NaN;176,7;4,966666666666667;8;0,8242;2,552;1,548;6,9;15;0,8532;2,712;1,376;6,93;23;0,8595;2,308;1,392;6,6;2,4528666666666665;1,427733333333333;6,754666666666667;0,3;0,8887;0,8882;0,36;0,8687;0,8683;0,8691;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Client 3;5,0;2,0;IID;Same Data;1,0;NaN;173,83333333333334;4,966666666666667;Client 4;5,0;2,0;IID;Same Data;1,0;NaN;174,63333333333333;5,0;Client 5;5,0;2,0;IID;Same Data;1,0;NaN;174,43333333333334;5,0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
10;2;CNN 16k;CIFAR-10;Adam;0,001;64;1;Client 1;5;2;non-IID;Same Data;0,5;NaN;331,7;5,9;Client 2;5;2;non-IID;Same Data;0,5;NaN;332,7;5,7;3;0,2437;3,725;2,45;11,66;5;0,2724;3,785;2,45;11,77;8;0,3134;3,685;2,45;11,68;3,754;2,4855;12,024;1,01;0,6369;0,4525;2,86;0,3903;0,3114;0,3134;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
10;2;CNN 16k;CIFAR-10;Adam;0,001;64;1;Client 1;5;2;non-IID;Same Data;0,5;0,12000000000000002;425,7;9,1;Client 2;5;2;non-IID;Same Data;0,5;0,019999999999999997;423,5;10,1;3;0,2697;4,615;2,2;28,96;5;0,3063;5,07;2,1799999999999997;29,88;8;0,32;4,85;1,815;31,25;4,642;1,9329999999999998;30,014000000000003;1,03;0,5995;0,5123;2,81;0,4101;0,3411;0,3411;{OFF,OFF,ON};NaN;NaN;NaN;NaN;32,0;0,5;0,999;DCGANDiscriminator;1,0;DCGANGenerator;0,0002;100,0;Adam;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
