N Rounds,Total Clients,Model,Dataset,Optimizer,Learning Rate,Batch Size,Epochs,Client 1 ID,Client 1 CPU,Client 1 RAM,Client 1 Data Distribution,Client 1 Data Persistence,Client 1 Alpha Dirichlet,Client 1 JSD,Client 1 CPU Usage Avg,Client 1 RAM Usage Avg,Client 2 ID,Client 2 CPU,Client 2 RAM,Client 2 Data Distribution,Client 2 Data Persistence,Client 2 Alpha Dirichlet,Client 2 JSD,Client 2 CPU Usage Avg,Client 2 RAM Usage Avg,Client 3 ID,Client 3 CPU,Client 3 RAM,Client 3 Data Distribution,Client 3 Data Persistence,Client 3 Alpha Dirichlet,Client 3 JSD,Client 3 CPU Usage Avg,Client 3 RAM Usage Avg,Client 4 ID,Client 4 CPU,Client 4 RAM,Client 4 Data Distribution,Client 4 Data Persistence,Client 4 Alpha Dirichlet,Client 4 JSD,Client 4 CPU Usage Avg,Client 4 RAM Usage Avg,Client 5 ID,Client 5 CPU,Client 5 RAM,Client 5 Data Distribution,Client 5 Data Persistence,Client 5 Alpha Dirichlet,Client 5 JSD,Client 5 CPU Usage Avg,Client 5 RAM Usage Avg,Round 25%,Val F1 25%,Training Time Avg 25%,Communication Time Avg 25%,Total Round Time 25%,Round 50%,Val F1 50%,Training Time Avg 50%,Communication Time Avg 50%,Total Round Time 50%,Round 75%,Val F1 75%,Training Time Avg 75%,Communication Time Avg 75%,Total Round Time 75%,Avg Training Time,Avg Communication Time,Avg Total Round Time,Final Train Loss,Final Train Accuracy,Final Train F1,Final Val Loss,Final Val Accuracy,Final Val F1 (Last Round),Final Val F1 (Best),Client Selector Strategy,Client Selector Criteria,Client Selector Value,Message Compressor Alg,HDH Batch Size,HDH Beta 1,HDH Beta 2,HDH Discriminator,HDH Epochs,HDH Generator,HDH Learning Rate,HDH Latent Dim,HDH Optimizer,client_selector_pattern,message_compressor_pattern,hdh_pattern,config_id
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,119.5,2.0,Client 2,3,2,IID,Same Data,1,nan,121.8,2.0,Client 3,3,2,IID,Same Data,1,nan,120.7,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,121.9,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.0,2.0,3,0.1866,1.7399999999999998,2.38,16.93,5,0.218,1.396,1.83,13.23,8,0.2292,1.5239999999999998,1.88,10.52,2.3406,2.0868,17.360999999999997,1.11,0.589,0.4185,3.68,0.3202,0.2452,0.2452,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,OFF,OFF,"OFF,OFF,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,107.7,2.0,Client 2,3,2,IID,Same Data,1,nan,111.3,2.0,Client 3,3,2,IID,Same Data,1,nan,112.9,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,115.4,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.0,2.0,3,0.1835,9.032,1.836,47.66,5,0.2093,9.334,2.384,47.48,8,0.2356,9.368,2.362,47.58,7.734799999999999,2.2470000000000003,40.265,1.11,0.583,0.405,3.78,0.3123,0.2359,0.2359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,OFF,OFF,"OFF,OFF,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,113.5,2.0,Client 2,3,2,IID,Same Data,1,nan,108.3,2.0,Client 3,3,2,IID,Same Data,1,nan,110.9,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,114.6,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.0,2.0,3,0.1814,9.06,1.8560000000000003,47.58,5,0.2189,9.07,1.852,47.58,8,0.2429,9.372,2.3879999999999995,47.56,6.9958,2.2552000000000003,37.933,1.1,0.5908,0.4168,3.7,0.3239,0.2424,0.2429,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,OFF,OFF,"OFF,OFF,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,115.7,2.0,Client 2,3,2,IID,Same Data,1,nan,116.8,2.0,Client 3,3,2,IID,Same Data,1,nan,109.8,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,114.6,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.0,2.0,3,0.1862,9.056,1.854,47.68,5,0.215,9.35,2.428,47.58,8,0.235,1.5559999999999998,1.896,10.32,7.5718,1.9424,40.438,1.1,0.5876,0.419,3.59,0.3232,0.243,0.243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,OFF,OFF,"OFF,OFF,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,111.3,2.0,Client 2,3,2,IID,Same Data,1,nan,120.0,2.0,Client 3,3,2,IID,Same Data,1,nan,121.4,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,109.4,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.1,2.0,3,0.1712,9.03,1.8340000000000003,47.78,5,0.2081,9.04,1.8500000000000003,47.78,8,0.235,9.052,1.85,47.78,6.773599999999999,1.8848,36.794,1.1,0.5893,0.4237,3.64,0.3294,0.2486,0.2486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,OFF,OFF,"OFF,OFF,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,125.2,2.0,Client 2,3,2,IID,Same Data,1,nan,126.3,2.0,Client 3,3,2,IID,Same Data,1,nan,117.7,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,115.4,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,nan,nan,3,0.2117,1.34,1.89,10.12,5,0.2379,1.3525,1.8875,10.02,8,0.2524,10.795,1.845,47.48,7.7315,1.88075,29.101,1.19,0.557,0.4443,5.03,0.3323,0.2571,0.2602,Resource-Based,CPU,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ON,OFF,OFF,"ON,OFF,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,124.8,2.0,Client 2,3,2,IID,Same Data,1,nan,139.7,2.0,Client 3,3,2,IID,Same Data,1,nan,120.8,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,116.7,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,nan,nan,3,0.2073,17.212500000000002,1.8375,47.97,5,0.2326,1.425,1.8675,10.02,8,0.26,16.682499999999997,1.7825,47.97,12.1325,1.8362500000000004,36.75,1.17,0.5583,0.4515,4.64,0.3387,0.2648,0.2648,Resource-Based,CPU,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ON,OFF,OFF,"ON,OFF,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,110.9,2.0,Client 2,3,2,IID,Same Data,1,nan,113.1,2.0,Client 3,3,2,IID,Same Data,1,nan,114.3,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,111.1,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,nan,nan,3,0.2142,10.85,1.8225,47.58,5,0.2369,10.865,1.8,47.58,8,0.2525,10.8275,1.87,47.68,8.95375,1.87575,40.428,1.17,0.5622,0.4511,4.55,0.338,0.2627,0.2627,Resource-Based,CPU,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ON,OFF,OFF,"ON,OFF,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,124.7,2.0,Client 2,3,2,IID,Same Data,1,nan,110.5,2.0,Client 3,3,2,IID,Same Data,1,nan,121.9,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,130.1,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,nan,nan,3,0.2057,14.2775,1.8225,47.99,5,0.2273,15.925,1.8025,47.88,8,0.2447,1.365,1.885,10.12,11.462,1.85025,40.528,1.21,0.547,0.4344,4.92,0.3292,0.2552,0.2553,Resource-Based,CPU,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ON,OFF,OFF,"ON,OFF,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,119.9,2.0,Client 2,3,2,IID,Same Data,1,nan,121.3,2.0,Client 3,3,2,IID,Same Data,1,nan,115.5,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,110.0,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,nan,nan,3,0.2118,16.745,1.7925,47.78,5,0.2387,17.7975,1.7925,47.66,8,0.2466,1.4175,1.88,10.12,9.83325,1.859,36.548,1.18,0.5595,0.4542,4.98,0.3377,0.2675,0.2675,Resource-Based,CPU,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ON,OFF,OFF,"ON,OFF,OFF"
