deviceCPUCyles,deviceCost,lbExecTime,lbFailureProb,serviceCost,serviceFailureProb,d1Services,d2Services,d3Services,scenario,policy,model,cost,executionTime,probSuccessfulExecution,policy_config
109,23,49,27,5,18,0,0,1,343,1,archexploration,28,94,60,0_0_1
138,15,18,22,4,10,0,0,1,344,1,archexploration,19,81,71,0_0_1
104,21,44,30,3,48,0,0,1,345,1,archexploration,24,72,37,0_0_1
109,12,11,15,3,36,0,0,1,346,1,archexploration,15,46,55,0_0_1
147,13,11,18,1,27,0,0,1,347,1,archexploration,14,65,60,0_0_1
116,38,16,21,5,37,0,0,1,348,1,archexploration,43,53,50,0_0_1
101,3,32,28,1,34,0,0,1,349,1,archexploration,4,66,48,0_0_1
110,40,36,11,3,21,0,0,1,350,1,archexploration,43,80,71,0_0_1
135,23,36,35,3,37,0,0,1,351,1,archexploration,26,79,41,0_0_1
134,18,38,43,3,34,0,0,1,352,1,archexploration,21,83,38,0_0_1
109,25,32,41,4,28,0,0,1,353,1,archexploration,29,72,43,0_0_1
129,37,49,26,4,50,0,0,1,354,1,archexploration,41,82,37,0_0_1
122,1,18,13,5,14,0,0,1,355,1,archexploration,6,71,75,0_0_1
127,32,34,36,5,49,0,0,1,356,1,archexploration,37,67,33,0_0_1
147,37,44,19,2,29,0,0,1,357,1,archexploration,39,97,58,0_0_1
134,20,38,11,4,16,0,0,1,358,1,archexploration,24,95,75,0_0_1
146,31,16,37,1,50,0,0,1,359,1,archexploration,32,53,32,0_0_1
108,20,37,47,3,47,0,0,1,360,1,archexploration,23,66,29,0_0_1
124,15,30,47,2,15,0,0,1,361,1,archexploration,17,83,46,0_0_1
111,15,38,16,2,15,0,0,1,362,1,archexploration,17,86,72,0_0_1
130,14,14,23,3,25,0,0,1,363,1,archexploration,17,63,58,0_0_1
108,23,42,43,3,28,0,0,1,364,1,archexploration,26,81,42,0_0_1
112,4,27,11,3,20,0,0,1,365,1,archexploration,7,72,72,0_0_1
140,4,41,19,4,39,0,0,1,366,1,archexploration,8,84,50,0_0_1
140,31,12,26,3,23,0,0,1,367,1,archexploration,34,66,57,0_0_1
120,4,44,13,4,22,0,0,1,368,1,archexploration,8,91,68,0_0_1
112,38,22,40,4,36,0,0,1,369,1,archexploration,42,58,39,0_0_1
126,18,39,23,3,17,0,0,1,370,1,archexploration,21,92,64,0_0_1
112,9,45,34,3,25,0,0,1,371,1,archexploration,12,87,50,0_0_1
130,27,27,16,5,18,0,0,1,372,1,archexploration,32,81,69,0_0_1
103,8,28,12,2,28,0,0,1,373,1,archexploration,10,66,64,0_0_1
149,22,37,45,1,38,0,0,1,374,1,archexploration,23,84,35,0_0_1
145,28,21,11,1,50,0,0,1,375,1,archexploration,29,58,45,0_0_1
105,17,32,25,4,41,0,0,1,376,1,archexploration,21,63,45,0_0_1
119,9,43,21,4,34,0,0,1,377,1,archexploration,13,83,53,0_0_1
118,18,47,30,4,11,0,0,1,378,1,archexploration,22,100,63,0_0_1
101,14,15,33,2,45,0,0,1,379,1,archexploration,16,43,37,0_0_1
116,3,22,37,5,17,0,0,1,380,1,archexploration,8,71,53,0_0_1
121,30,17,30,4,14,0,0,1,381,1,archexploration,34,70,61,0_0_1
111,4,30,27,5,19,0,0,1,382,1,archexploration,9,75,60,0_0_1
117,21,50,12,4,33,0,0,1,383,1,archexploration,25,90,59,0_0_1
