availability#lambda_step_readDDB,availability#SimpleSystemsManagement_AWS::SimpleSystemsManagement,availability#servi-searc.us-west-2.elb.amazonaws.com_remote,availability#AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,availability#PetSearch_AWS::ECS::Fargate,availability#amazon.com_remote,availability#lambdastatusupdater_AWS::Lambda::Function,availability#lambdastatusupdater_AWS::Lambda,availability#servi-lista.us-west-2.elb.amazonaws.com_remote,availability#SimpleNotificationService_AWS::SimpleNotificationService,availability#petInfo_AWS::DynamoDB::Table,availability#lambda_step_readDDB_AWS::Lambda::Function,availability#https://sqs.us-west-2.amazonaws.com/Services-sqspetadoption_AWS::SQS::Queue,availability#AWS::StepFunctions::StateMachine,availability#PetSearch_client,availability#SSM_AWS::SSM,availability#lambda_step_priceGreaterThan55_AWS::Lambda::Function,availability#lambda_step_priceLessThan55_AWS::Lambda::Function,availability#Servi-searc.us-west-2.elb.amazonaws.com_remote,availability#lambda_step_priceLessThan55,availability#lambda_step_priceGreaterThan55_AWS::Lambda,availability#servi-petsi.us-west-2.elb.amazonaws.com_remote,availability#lambda_step_priceLessThan55_AWS::Lambda,availability#petlistadoptions_AWS::ECS::Fargate,availability#PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,availability#lambda_step_readDDB_AWS::Lambda,availability#PGSQL Query_remote,availability#Evidently_AWS::Evidently,availability#DynamoDB_AWS::DynamoDB,availability#petlistadoptions_client,availability#www.amazon.com_remote,availability#adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL,availability#PetSite,availability#payforadoption_AWS::ECS::Container,issue,traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.142857142857146,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.63636363636363,100.0,100.0,0.0,75.0,100.0,100.0,0.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.80276134122288,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333333,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,100.0,100.0,0.0,28.57142857142857,100.0,100.0,0.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.66666666666666,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.57142857142856,100.0,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,100.0,100.0,0.0,33.33333333333333,100.0,100.0,0.0,0.0,33.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.58592132505176,100.0,0,low_traffic
100.0,100.0,94.3661971830986,100.0,97.125,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.666666666666671,94.33962264150944,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.3360655737705,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.85714285714286,100.0,28.57142857142857,100.0,100.0,0.0,50.0,100.0,100.0,0.0,0.0,44.44444444444444,100.0,100.0,93.33333333333331,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666669,100.0,83.33333333333333,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,91.66666666666669,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,64.28571428571428,100.0,100.0,0.0,75.0,100.0,100.0,0.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.55555555555556,100.0,100.0,0.0,66.66666666666666,100.0,100.0,0.0,0.0,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.32985386221294,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.94117647058823,100.0,100.0,0.0,83.33333333333333,100.0,100.0,0.0,0.0,83.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,0.0,37.5,100.0,100.0,0.0,0.0,30.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.36974789915966,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.36974789915966,100.0,0,low_traffic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.55555555555556,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.57894736842104,100.0,0,low_traffic
