N_A,N_B,r_Z_A,r_Z_B,r_A_gw,r_B_gw,r_A_s1,r_B_s1,r_A_s2,r_B_s2,r_A_s3,r_B_s3,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ugw,Ugw_low,Ugw_up,Us1,Us1_low,Us1_up,Us2,Us2_low,Us2_up,Us3,Us3_low,Us3_up,sim_time_sec
5,20,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,371.3131576481921,363.3148552051198,379.3114600912644,263.24448710907205,256.00012728630537,270.48884693183874,418.16764181148284,408.9032278939617,427.432055729004,0.06699419901479506,0.06538128827491675,0.06868870132577412,0.018997165412842697,0.018464270783507365,0.01956173376130955,0.04785494684335714,0.04686704744124638,0.04888539041947297,0.332352224017825,0.3231714876069272,0.3415329604287228,0.9994170917002426,0.9868920944116935,1.0119420889887918,0.8623142461906714,0.8381804370331262,0.8864480553482167,0.6166979445631678,0.6020502584903537,0.631345630635982,10.710152864456177
0,25,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,450.9206755172763,443.3226328942625,458.51871814029016,0.0,0.0,0.0,450.9206755172763,443.3226328942625,458.51871814029016,0.05503904665579555,0.0542477521459215,0.055853767596415166,0.0,0.0,0.0,0.05503904665579555,0.0542477521459215,0.055853767596415166,0.27355797949882077,0.26592474455074133,0.2811912144469002,1.0,0.9713515668682959,1.028648433131704,0.6656428069681575,0.6526980490960661,0.6785875648402488,0.2739722527393066,0.26650388032662237,0.2814406251519908,10.921069860458374
7,18,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,353.045781914224,348.24782147967875,357.84374234876924,280.3323768481593,275.03938366535084,285.62537003096776,393.3004690015089,385.0451485167154,401.55578948630233,0.0707033993776436,0.06873674217913087,0.07278590907320152,0.024970396491844307,0.024501847798468552,0.025457214660176794,0.04586784472322752,0.04510413711039869,0.04665786012443375,0.35290769172739966,0.3443712957156425,0.3614440877391568,0.9979914455834401,0.9852682349857422,1.010714656181138,0.9318043168884657,0.904851531379956,0.9587571023969753,0.7271521199439083,0.7101469479765681,0.7441572919112485,12.376561164855957
9,16,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,340.42664369905566,331.4167990893176,349.43648830879374,304.78421235709936,298.7097607323466,310.85866398185215,368.06941314883903,361.7323643061949,374.4064619914832,0.07291719956677936,0.071803370821642,0.07406612868000657,0.029529826102794577,0.028954014805239334,0.03012900453493975,0.04347670379203412,0.042675307661391694,0.04430877466667494,0.3666257721450617,0.3578500366864251,0.3754015076036983,0.9887312960753908,0.9744553878263231,1.0030072043244584,0.967928444704825,0.9502376106659893,0.9856192787436606,0.8076146816120376,0.7849098878481916,0.8303194753758837,12.924974918365479
8,17,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,344.14845995665655,338.6028427059792,349.6940772073339,290.8940544675877,285.600796852853,296.18731208232236,379.84434424431583,369.6350697987207,390.053618689911,0.07273377133261495,0.07074808026205735,0.07483414628993257,0.027439356336755788,0.027028272479098135,0.02786313799961219,0.04499233067848196,0.04405316930198718,0.04597240794906962,0.36415558181130303,0.3559479481031365,0.37236321551946955,0.9966065102443933,0.9835592342462507,1.0096537862425359,0.9500504481373268,0.9294106408081256,0.9706902554665279,0.79079508894275,0.7744562983266104,0.8071338795588895,15.872534036636353
6,19,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,363.85789110186863,357.8704460619187,369.84533614181856,270.10755057189516,265.94642157760705,274.26867956618327,406.50360971609985,399.7841817527249,413.22303767947477,0.06843011094819221,0.06660989774554321,0.07035259895358098,0.022225912207742903,0.02161005196797093,0.02287790471112782,0.046732352952486886,0.04586538962163091,0.04763272302571167,0.34230632194930133,0.3324886233333719,0.35212402056523073,0.9989437207497275,0.9863208374538571,1.0115666040455977,0.9011444658359253,0.8814413767161174,0.9208475549557332,0.6865283992581895,0.6706092232243396,0.7024475752920395,17.41710591316223
1,24,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,429.1515420627931,423.4509442148082,434.852139910778,254.16454714043198,246.85471447888017,261.4743798019838,441.8828208899234,429.2803286132968,454.48531316655,0.05825544274836508,0.05663324950769946,0.05997330806256034,0.003934459039432734,0.003824466476437601,0.004050965776007311,0.05399468768870775,0.05257480759725072,0.05549338949187135,0.2937196950727902,0.28873174013208946,0.298707650013491,1.0,0.9874855732602297,1.0125144267397703,0.7136886180390789,0.6957230965353393,0.7316541395428185,0.3506834980222267,0.34226533684661137,0.35910165919784204,18.79502582550049
11,14,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,339.79215536566187,335.1900726523435,344.39423807898027,333.89032760450306,327.4357933250588,340.3448618839473,344.3989803066891,337.9129399813675,350.8850206320107,0.07356387659261253,0.07260608362612322,0.07454727707487677,0.03295115556297205,0.0322472671307948,0.033686458443784414,0.040594108905990765,0.039928413142293215,0.04128237829063929,0.3723681363403682,0.3637545150624104,0.380981757618326,0.9758164614238996,0.9598813315738085,0.9917515912739906,0.9865782330958947,0.9728999821858643,1.000256484005925,0.8625684812969624,0.8418004073233573,0.8833365552705675,8.272633790969849
4,21,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,386.3464326460725,379.2176568174887,393.4752084746563,260.45247704304484,257.2448261347676,263.66012795132207,425.5826049822998,416.2339741674502,434.93123579714944,0.06447535400257522,0.06351064738094458,0.0654698198333414,0.015358521737446678,0.015172826311131416,0.015548818817223089,0.048968231939682944,0.04755443645979174,0.05046866764027813,0.32662848382762977,0.31782312814462926,0.33543383951063027,0.9989700262372397,0.9864407400176322,1.0114993124568472,0.8244694446963033,0.8094962067602303,0.8394426826323764,0.5568396692602702,0.5414385284424974,0.572240810078043,20.128129959106445
13,12,0.01,0.01,0.2,0.2,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,339.93551772418164,333.89279280915804,345.97824263920523,356.67954706233,351.0664342778673,362.29265984679273,322.083878043944,313.3123413509142,330.85541473697384,0.07353705415297329,0.07223465471549707,0.07488728075421557,0.03644826478584074,0.03587961485082539,0.03703522986740413,0.03709758240601021,0.03641775031339452,0.03780327899757601,0.3636255051834038,0.3577512040961506,0.36949980627065704,0.9227885302055034,0.8958797147269615,0.9496973456840454,0.9904403457345882,0.9747946858895838,1.0060860055795924,0.9084389762379577,0.8893253849887227,0.9275525674871926,8.176968812942505
