method,policy,target,fast-high,fast-average,fast-low,average-high,average-average,average-low,slow-high,slow-average,slow-low
test set,standard,,"0,15625","0,0","0,25","0,09375","0,0","0,03125","0,4375","0,0","0,03125"
prim,standard,fast-high,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,standard,fast-low,"0,0","0,0","0,8888888888888888","0,0","0,0","0,1111111111111111","0,0","0,0","0,0"
prim,standard,average-high,"0,5555555555555556","0,0","0,0","0,3333333333333333","0,0","0,0","0,1111111111111111","0,0","0,0"
prim,standard,average-low,"0,0","0,0","0,8","0,0","0,0","0,1","0,0","0,0","0,1"
prim,standard,slow-high,"0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
prim,standard,slow-average,"0,0","0,0","0,0","0,5","0,0","0,0","0,5","0,0","0,0"
prim,standard,slow-low,"0,0","0,0","0,0","0,0","0,0","0,5","0,0","0,0","0,5"
cart,standard,fast-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,standard,fast-low,"0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,standard,average-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,standard,average-low,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
