method,policy,target,fast-high,fast-average,fast-low,fast-very-high,average-high,average-average,average-low,average-very-high,slow-high,slow-average,slow-low,slow-very-high,very-slow-high,very-slow-average,very-slow-very-high,very-slow-low
test set,long-services-offloaded,,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
test set,no-offloading,,"0,0","0,0","0,5555555555555556","0,0","0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,1111111111111111","0,0","0,0","0,0","0,0","0,0"
test set,short-services-offloaded,,"0,7142857142857143","0,0","0,0","0,0","0,0","0,2857142857142857","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,fast-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,fast-low,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,fast-very-high,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,average-low,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,fast-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,fast-low,"0,0","0,0","0,7142857142857143","0,0","0,0","0,0","0,2857142857142857","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,fast-very-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,average-low,"0,0","0,0","0,5555555555555556","0,0","0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,1111111111111111","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,fast-high,"0,8181818181818182","0,0","0,0","0,0","0,0","0,18181818181818182","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,fast-low,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,fast-very-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,average-low,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,fast-very-high,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,average-low,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,no-offloading,fast-very-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,no-offloading,average-low,"0,0","0,0","0,6666666666666666","0,0","0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,fast-very-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,average-low,"0,6666666666666666","0,0","0,0","0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
