method,policy,target,L-L,L-M,L-S,L-XS,M-L,M-M,M-S,M-XS,S-L,S-M,S-S,S-XS,XS-L,XS-M,XS-S,XS-XS
test set,long-services-offloaded,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
test set,no-offloading,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1111111111111111","0,0","0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,5555555555555556"
test set,short-services-offloaded,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2857142857142857","0,0","0,0","0,7142857142857143","0,0","0,0"
prim,long-services-offloaded,S-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,S-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1111111111111111","0,0","0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,5555555555555556"
prim,short-services-offloaded,S-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
prim,no-offloading,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,18181818181818182","0,0","0,0","0,8181818181818182","0,0","0,0"
prim,long-services-offloaded,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2857142857142857","0,0","0,0","0,0","0,7142857142857143"
prim,short-services-offloaded,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,S-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,no-offloading,S-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,S-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
cart,no-offloading,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,no-offloading,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
cart,long-services-offloaded,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,no-offloading,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,16666666666666666","0,0","0,0","0,0","0,8333333333333334"
cart,short-services-offloaded,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
