method,policy,target,fast-high,fast-average,fast-low,fast-very-high,average-high,average-average,average-low,average-very-high,slow-high,slow-average,slow-low,slow-very-high,very-slow-very-high,very-slow-low,very-slow-average,very-slow-high
test set,joint1,,"0,0","0,0","0,0","0,0","0,0","0,2777777777777778","0,0","0,0","0,0","0,3888888888888889","0,0","0,0","0,0","0,0","0,3333333333333333","0,0"
test set,joint2,,"0,72","0,0","0,0","0,0","0,0","0,24","0,0","0,0","0,0","0,04","0,0","0,0","0,0","0,0","0,0","0,0"
test set,separated,,"0,7368421052631579","0,0","0,0","0,0","0,05263157894736842","0,10526315789473684","0,0","0,0","0,0","0,05263157894736842","0,0","0,0","0,0","0,0","0,05263157894736842","0,0"
prim,joint1,fast-high,"0,0","0,0","0,0","0,0","0,0","0,38461538461538464","0,0","0,0","0,0","0,46153846153846156","0,0","0,0","0,0","0,0","0,15384615384615385","0,0"
prim,joint1,average-average,"0,0","0,0","0,0","0,0","0,0","0,2777777777777778","0,0","0,0","0,0","0,3888888888888889","0,0","0,0","0,0","0,0","0,3333333333333333","0,0"
prim,joint1,slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6666666666666666","0,0","0,0","0,0","0,0","0,3333333333333333","0,0"
prim,joint1,very-slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,16666666666666666","0,0","0,0","0,0","0,0","0,8333333333333334","0,0"
prim,joint2,fast-high,"0,8571428571428571","0,0","0,0","0,0","0,0","0,14285714285714285","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,average-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,very-slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,fast-high,"0,8571428571428571","0,0","0,0","0,0","0,07142857142857142","0,07142857142857142","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,average-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,very-slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint1,fast-high,"0,0","0,0","0,0","0,0","0,0","0,7142857142857143","0,0","0,0","0,0","0,2857142857142857","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint1,slow-average,"0,0","0,0","0,0","0,0","0,0","0,2777777777777778","0,0","0,0","0,0","0,3888888888888889","0,0","0,0","0,0","0,0","0,3333333333333333","0,0"
cart,joint1,very-slow-average,"0,0","0,0","0,0","0,0","0,0","0,2777777777777778","0,0","0,0","0,0","0,3888888888888889","0,0","0,0","0,0","0,0","0,3333333333333333","0,0"
cart,joint2,fast-high,"0,8","0,0","0,0","0,0","0,0","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint2,slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint2,very-slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,fast-high,"0,75","0,0","0,0","0,0","0,0","0,25","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,very-slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
