cost,executionTime,probSuccessfulExecution
28,94,60
19,81,71
24,72,37
15,46,55
14,65,60
43,53,50
4,66,48
43,80,71
26,79,41
21,83,38
29,72,43
41,82,37
6,71,75
37,67,33
39,97,58
24,95,75
32,53,32
23,66,29
17,83,46
17,86,72
17,63,58
26,81,42
7,72,72
8,84,50
34,66,57
8,91,68
42,58,39
21,92,64
12,87,50
32,81,69
10,66,64
23,84,35
29,58,45
21,63,45
13,83,53
22,100,63
16,43,37
8,71,53
34,70,61
9,75,60
25,90,59
3,72,49
15,82,40
13,49,41
13,55,68
22,73,65
13,64,37
30,58,49
37,53,66
9,85,42
19,101,48
33,68,54
6,62,64
18,85,46
16,72,57
26,87,44
9,71,48
9,50,41
20,82,41
8,67,31
28,67,43
20,88,44
23,64,39
30,59,52
37,62,44
3,71,47
31,74,53
29,85,61
41,69,36
40,80,61
36,91,78
32,72,50
2,89,63
8,71,66
25,97,70
37,83,55
41,78,56
26,49,42
30,62,33
9,104,60
8,67,49
37,68,36
25,81,63
41,65,62
8,70,67
26,79,37
32,74,49
36,92,43
14,56,37
29,56,55
15,82,53
43,74,39
37,70,59
25,79,39
15,84,42
41,71,48
13,78,47
24,81,64
4,72,42
31,105,68
39,88,42
25,92,66
5,70,43
24,55,52
17,78,51
28,102,49
4,103,55
41,56,54
42,96,62
22,62,64
34,91,53
39,71,45
15,67,32
2,48,37
19,85,42
11,94,81
36,55,52
7,99,53
12,65,34
39,91,38
41,76,61
25,66,49
18,92,64
23,74,46
31,80,44
9,82,32
36,54,30
5,79,53
34,61,34
28,72,57
36,65,70
31,89,61
5,92,47
6,72,60
37,77,49
31,101,52
30,52,62
6,58,63
3,94,72
11,102,64
6,45,33
12,51,31
18,87,68
11,64,45
11,68,37
4,75,42
38,82,34
16,76,45
34,87,44
1,82,52
38,72,53
37,70,57
30,80,43
8,85,55
20,114,75
31,68,54
39,74,43
27,80,35
15,91,47
16,67,39
24,58,33
29,74,61
43,86,46
13,70,49
16,57,41
8,101,64
23,68,47
14,88,56
41,96,36
26,60,35
16,44,46
39,82,52
37,72,51
35,55,48
5,75,36
26,80,50
6,60,64
13,81,43
44,79,57
18,74,45
18,61,33
12,90,80
24,77,42
10,92,49
10,76,59
23,56,41
22,64,47
42,91,57
27,97,76
33,68,35
42,74,35
37,62,30
33,91,49
33,84,48
29,81,68
20,83,44
11,76,59
32,89,72
36,77,40
21,91,46
16,47,43
34,95,69
43,71,52
2,69,42
13,70,42
7,59,64
11,75,32
18,50,43
41,90,57
26,66,54
24,58,37
26,49,46
26,52,41
24,77,49
10,107,60
6,84,56
9,58,64
23,78,54
17,66,58
16,62,47
1,50,32
24,66,66
28,71,60
17,57,39
9,73,63
27,51,41
16,76,40
22,87,30
33,53,34
2,83,59
17,60,42
37,104,74
20,70,43
32,83,49
16,69,38
31,78,59
40,75,28
21,92,41
13,111,49
30,63,34
12,69,67
11,61,59
3,63,31
25,77,54
8,85,39
5,81,67
36,60,47
31,64,33
9,87,47
25,87,43
17,66,48
10,59,52
29,67,66
39,60,48
22,74,55
30,97,70
32,80,34
33,101,44
9,66,50
20,40,33
15,87,44
22,72,69
6,71,52
44,45,26
20,54,38
36,92,46
7,102,49
29,74,60
39,76,31
39,79,71
39,87,36
42,87,76
28,78,37
25,47,44
20,85,39
2,54,34
11,77,42
7,74,53
23,50,40
27,57,44
4,84,65
37,87,40
16,84,80
35,98,54
10,75,63
17,89,45
5,49,47
2,77,49
37,45,41
35,60,40
18,78,41
38,66,40
27,61,49
18,72,42
43,55,27
14,76,54
13,69,57
32,45,45
17,70,49
13,51,37
31,86,40
22,77,39
3,62,45
28,61,40
23,79,47
13,86,51
