method,policy,target,L-L,L-M,L-S,L-XS,M-L,M-M,M-S,M-XS,S-L,S-M,S-S,S-XS,XS-L,XS-M,XS-S,XS-XS
test set,hardware,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05555555555555555","0,0","0,0873015873015873","0,7936507936507936","0,06349206349206349","0,0"
test set,software,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
prim,hardware,S-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,5","0,0","0,0","0,5","0,0","0,0"
prim,hardware,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6470588235294118","0,35294117647058826","0,0","0,0"
prim,hardware,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
prim,hardware,XS-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,08333333333333333","0,0","0,0","0,3333333333333333","0,5833333333333334","0,0"
prim,hardware,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,08196721311475409","0,0","0,18032786885245902","0,7377049180327869","0,0","0,0"
prim,software,S-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
prim,software,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
prim,software,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
prim,software,XS-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
prim,software,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
cart,hardware,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03076923076923077","0,0","0,0","0,8461538461538461","0,12307692307692308","0,0"
cart,software,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
