method,policy,target,L-L,L-M,L-S,L-XS,M-L,M-M,M-S,M-XS,S-L,S-M,S-S,S-XS,XS-L,XS-M,XS-S,XS-XS
test set,joint1,,"0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,3888888888888889","0,0","0,0","0,0","0,2777777777777778","0,0","0,0","0,0","0,0","0,0"
test set,joint2,,"0,0","0,0","0,0","0,0","0,0","0,0","0,04","0,0","0,0","0,0","0,24","0,0","0,0","0,72","0,0","0,0"
test set,separated,,"0,0","0,0","0,05263157894736842","0,0","0,0","0,0","0,05263157894736842","0,0","0,0","0,05263157894736842","0,10526315789473684","0,0","0,0","0,7368421052631579","0,0","0,0"
prim,joint1,L-S,"0,0","0,0","0,8333333333333334","0,0","0,0","0,0","0,16666666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint1,M-S,"0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,6666666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint1,S-S,"0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,3888888888888889","0,0","0,0","0,0","0,2777777777777778","0,0","0,0","0,0","0,0","0,0"
prim,joint1,XS-M,"0,0","0,0","0,15384615384615385","0,0","0,0","0,0","0,46153846153846156","0,0","0,0","0,0","0,38461538461538464","0,0","0,0","0,0","0,0","0,0"
prim,joint2,L-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,M-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,S-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,14285714285714285","0,0","0,0","0,8571428571428571","0,0","0,0"
prim,separated,L-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,M-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,S-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,07142857142857142","0,07142857142857142","0,0","0,0","0,8571428571428571","0,0","0,0"
cart,joint1,L-S,"0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,3888888888888889","0,0","0,0","0,0","0,2777777777777778","0,0","0,0","0,0","0,0","0,0"
cart,joint1,M-S,"0,0","0,0","0,3333333333333333","0,0","0,0","0,0","0,3888888888888889","0,0","0,0","0,0","0,2777777777777778","0,0","0,0","0,0","0,0","0,0"
cart,joint1,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,2857142857142857","0,0","0,0","0,0","0,7142857142857143","0,0","0,0","0,0","0,0","0,0"
cart,joint2,L-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint2,M-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint2,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,0","0,0","0,8","0,0","0,0"
cart,separated,L-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,M-S,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,25","0,0","0,0","0,75","0,0","0,0"
