method,policy,target,L-L,L-S,S-L,S-S
test set,long-services-offloaded,,"0,0","0,0","1,0","0,0"
test set,no-offloading,,"0,0","0,1111111111111111","0,0","0,8888888888888888"
test set,short-services-offloaded,,"0,0","0,1","0,7","0,2"
prim,long-services-offloaded,L-S,"0,0","0,0","0,0","0,0"
prim,long-services-offloaded,S-L,"0,0","0,0","1,0","0,0"
prim,long-services-offloaded,S-S,"0,0","0,0","0,0","0,0"
prim,no-offloading,L-S,"0,0","0,1111111111111111","0,0","0,8888888888888888"
prim,no-offloading,S-L,"0,0","0,0","0,0","0,0"
prim,no-offloading,S-S,"0,0","0,1111111111111111","0,0","0,8888888888888888"
prim,short-services-offloaded,L-S,"0,0","0,0","0,0","0,0"
prim,short-services-offloaded,S-L,"0,0","0,0","0,0","0,0"
prim,short-services-offloaded,S-S,"0,0","0,0","0,0","0,0"
cart,long-services-offloaded,S-L,"0,0","0,0","1,0","0,0"
cart,long-services-offloaded,S-S,"0,0","0,0","1,0","0,0"
cart,no-offloading,S-L,"0,0","0,0","0,0","0,0"
cart,no-offloading,S-S,"0,0","0,0","0,0","1,0"
cart,short-services-offloaded,S-L,"0,0","0,0","0,0","0,0"
cart,short-services-offloaded,S-S,"0,0","0,0","1,0","0,0"
