method,policy,target,L-L,L-S,S-L,S-S
test set,joint1,,"0,0","0,6","0,0","0,4"
test set,joint2,,"0,0","0,045454545454545456","0,8181818181818182","0,13636363636363635"
test set,separated,,"0,0","0,15","0,75","0,1"
prim,joint1,L-S,"0,0","0,6428571428571429","0,0","0,35714285714285715"
prim,joint1,S-L,"0,0","0,5555555555555556","0,0","0,4444444444444444"
prim,joint1,S-S,"0,0","0,5789473684210527","0,0","0,42105263157894735"
prim,joint2,L-S,"0,0","0,0","0,0","0,0"
prim,joint2,S-L,"0,0","0,058823529411764705","0,8823529411764706","0,058823529411764705"
prim,joint2,S-S,"0,0","0,0","0,0","0,0"
prim,separated,L-S,"0,0","0,0","0,0","0,0"
prim,separated,S-L,"0,0","0,0625","0,875","0,0625"
prim,separated,S-S,"0,0","0,0","0,0","0,0"
cart,joint1,L-S,"0,0","0,7142857142857143","0,0","0,2857142857142857"
cart,joint1,S-L,"0,0","0,8","0,0","0,2"
cart,joint1,S-S,"0,0","0,6","0,0","0,4"
cart,joint2,L-S,"0,0","0,0","0,0","0,0"
cart,joint2,S-L,"0,0","0,14285714285714285","0,7142857142857143","0,14285714285714285"
cart,joint2,S-S,"0,0","0,0","0,0","0,0"
cart,separated,L-S,"0,0","0,0","0,0","0,0"
cart,separated,S-L,"0,0","0,25","0,5","0,25"
cart,separated,S-S,"0,0","0,0","0,0","0,0"
