method,policy,target,C1-C1,C1-C2,C2-C1,C2-C2,C3-C1,C3-C2,C4-C1,C4-C2
test set,hardware,,"0,0","0,7627118644067796","0,025423728813559324","0,1440677966101695","0,059322033898305086","0,00847457627118644","0,0","0,0"
test set,software,,"0,5362318840579711","0,0","0,463768115942029","0,0","0,0","0,0","0,0","0,0"
prim,hardware,C1-C1,"0,0","0,8863636363636364","0,045454545454545456","0,022727272727272728","0,045454545454545456","0,0","0,0","0,0"
prim,hardware,C1-C2,"0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,hardware,C2-C1,"0,0","0,6461538461538462","0,015384615384615385","0,24615384615384617","0,07692307692307693","0,015384615384615385","0,0","0,0"
prim,hardware,C2-C2,"0,0","0,18181818181818182","0,0","0,5909090909090909","0,18181818181818182","0,045454545454545456","0,0","0,0"
prim,hardware,C3-C1,"0,0","0,0","0,3333333333333333","0,3333333333333333","0,3333333333333333","0,0","0,0","0,0"
prim,software,C1-C1,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,software,C1-C2,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,software,C2-C1,"0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
prim,software,C2-C2,"0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
prim,software,C3-C1,"0,5","0,0","0,5","0,0","0,0","0,0","0,0","0,0"
cart,hardware,C1-C1,"0,0","0,9056603773584906","0,03773584905660377","0,018867924528301886","0,03773584905660377","0,0","0,0","0,0"
cart,hardware,C1-C2,"0,0","0,9056603773584906","0,03773584905660377","0,018867924528301886","0,03773584905660377","0,0","0,0","0,0"
cart,hardware,C2-C1,"0,0","0,0","0,5","0,0","0,5","0,0","0,0","0,0"
cart,software,C1-C1,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,software,C1-C2,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,software,C2-C1,"0,5","0,0","0,5","0,0","0,0","0,0","0,0","0,0"
