method,policy,target,C1-C1,C1-C2,C1-C3,C1-C4,C2-C1,C2-C2,C2-C3,C2-C4
test set,long-services-offloaded,,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
test set,no-offloading,,"0,7777777777777778","0,0","0,0","0,0","0,2222222222222222","0,0","0,0","0,0"
test set,short-services-offloaded,,"0,0","0,2727272727272727","0,6363636363636364","0,0","0,0","0,09090909090909091","0,0","0,0"
prim,long-services-offloaded,C2-C2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,C1-C1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,C2-C1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,C1-C2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,C1-C4,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
prim,long-services-offloaded,C1-C3,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,C2-C1,"0,7777777777777778","0,0","0,0","0,0","0,2222222222222222","0,0","0,0","0,0"
prim,no-offloading,C1-C4,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,C1-C1,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,C1-C2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,C2-C2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,no-offloading,C1-C3,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,C1-C4,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,C1-C3,"0,0","0,2222222222222222","0,7777777777777778","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,C1-C2,"0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,C2-C1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,C1-C1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,short-services-offloaded,C2-C2,"0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
cart,long-services-offloaded,C1-C3,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,C1-C1,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,C2-C2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,C2-C1,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,C1-C2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,long-services-offloaded,C1-C4,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
cart,no-offloading,C2-C1,"0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
cart,no-offloading,C1-C4,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,no-offloading,C1-C1,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,no-offloading,C1-C3,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,no-offloading,C1-C2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,no-offloading,C2-C2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,C1-C3,"0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,C1-C4,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,C2-C1,"0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
cart,short-services-offloaded,C1-C2,"0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,C1-C1,"0,0","0,3333333333333333","0,6666666666666666","0,0","0,0","0,0","0,0","0,0"
cart,short-services-offloaded,C2-C2,"0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
