method,policy,target,C1-C1,C1-C2,C2-C1,C2-C2,C3-C1,C3-C2
test set,joint1,,"0,0","0,0","0,5714285714285714","0,0","0,42857142857142855","0,0"
test set,joint2,,"0,0","0,8421052631578947","0,15789473684210525","0,0","0,0","0,0"
test set,separated,,"0,0","0,8181818181818182","0,13636363636363635","0,0","0,045454545454545456","0,0"
prim,joint1,C1-C2,"0,0","0,0","0,6","0,0","0,4","0,0"
prim,joint1,C2-C1,"0,0","0,0","0,9230769230769231","0,0","0,07692307692307693","0,0"
prim,joint1,C3-C1,"0,0","0,0","0,18181818181818182","0,0","0,8181818181818182","0,0"
prim,joint2,C1-C2,"0,0","0,8888888888888888","0,1111111111111111","0,0","0,0","0,0"
prim,joint2,C2-C1,"0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,C3-C1,"0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,C1-C2,"0,0","0,8181818181818182","0,13636363636363635","0,0","0,045454545454545456","0,0"
prim,separated,C2-C1,"0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,C3-C1,"0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint1,C1-C2,"0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint2,C1-C2,"0,0","0,6666666666666666","0,3333333333333333","0,0","0,0","0,0"
cart,separated,C1-C2,"0,0","0,0","0,0","0,0","0,0","0,0"
