method,policy,target,L-L,L-S,M-L,M-S,X-S,X-X,XS-L,XS-XS
test set,hardware,,"0,0","0,0","0,00847457627118644","0,059322033898305086","0,025423728813559324","0,1440677966101695","0,7627118644067796","0,0"
test set,software,,"0,0","0,0","0,0","0,0","0,463768115942029","0,0","0,0","0,5362318840579711"
prim,hardware,M-S,"0,0","0,0","0,0","0,3333333333333333","0,3333333333333333","0,3333333333333333","0,0","0,0"
prim,software,M-S,"0,0","0,0","0,0","0,0","0,5","0,0","0,0","0,5"
prim,hardware,X-S,"0,0","0,0","0,015384615384615385","0,07692307692307693","0,015384615384615385","0,24615384615384617","0,6461538461538462","0,0"
prim,software,X-S,"0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
prim,hardware,X-X,"0,0","0,0","0,045454545454545456","0,18181818181818182","0,0","0,5909090909090909","0,18181818181818182","0,0"
prim,software,X-X,"0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
prim,hardware,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
prim,software,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
prim,hardware,XS-XS,"0,0","0,0","0,0","0,045454545454545456","0,045454545454545456","0,022727272727272728","0,8863636363636364","0,0"
prim,software,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
cart,hardware,X-S,"0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
cart,software,X-S,"0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
cart,hardware,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
cart,software,XS-XS,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
