method,policy,target,L-L,L-S,S-L,S-S
test set,hardware,,"0,39097744360902253","0,21804511278195488","0,3082706766917293","0,08270676691729323"
test set,software,,"0,0","0,8373983739837398","0,0","0,16260162601626016"
prim,hardware,L-L,"1,0","0,0","0,0","0,0"
prim,software,L-L,"0,0","1,0","0,0","0,0"
prim,hardware,L-S,"0,0","0,9230769230769231","0,07692307692307693","0,0"
prim,software,L-S,"0,0","1,0","0,0","0,0"
prim,hardware,S-L,"0,0","0,0","0,9666666666666667","0,03333333333333333"
prim,software,S-L,"0,0","0,6666666666666666","0,0","0,3333333333333333"
prim,hardware,S-S,"0,0","0,0","0,5","0,5"
prim,software,S-S,"0,0","0,0","0,0","1,0"
cart,hardware,L-L,"1,0","0,0","0,0","0,0"
cart,software,L-L,"0,0","1,0","0,0","0,0"
cart,hardware,L-S,"0,0","1,0","0,0","0,0"
cart,software,L-S,"0,0","1,0","0,0","0,0"
cart,hardware,S-S,"0,0","0,0","0,6","0,4"
cart,software,S-S,"0,0","0,0","0,0","1,0"
