method,policy,target,L-L,L-S,S-L,S-S
test set,long-services-offloaded,,"1,0","0,0","0,0","0,0"
test set,no-offloading,,"0,0","0,5555555555555556","0,0","0,4444444444444444"
test set,short-services-offloaded,,"0,0","0,2857142857142857","0,07142857142857142","0,6428571428571429"
prim,long-services-offloaded,L-L,"1,0","0,0","0,0","0,0"
prim,no-offloading,L-L,"0,0","0,0","0,0","0,0"
prim,short-services-offloaded,L-L,"0,0","0,0","0,0","0,0"
prim,long-services-offloaded,L-S,"0,0","0,0","0,0","0,0"
prim,no-offloading,L-S,"0,0","0,5555555555555556","0,0","0,4444444444444444"
prim,short-services-offloaded,L-S,"0,0","0,0","0,0","0,0"
prim,long-services-offloaded,S-S,"0,0","0,0","0,0","0,0"
prim,no-offloading,S-S,"0,0","0,0","0,0","0,0"
prim,short-services-offloaded,S-S,"0,0","0,0","0,14285714285714285","0,8571428571428571"
cart,long-services-offloaded,L-L,"1,0","0,0","0,0","0,0"
cart,no-offloading,L-L,"0,0","0,0","0,0","0,0"
cart,short-services-offloaded,L-L,"0,0","0,0","0,0","0,0"
cart,long-services-offloaded,L-S,"0,0","0,0","0,0","0,0"
cart,no-offloading,L-S,"0,0","0,0","0,0","0,0"
cart,short-services-offloaded,L-S,"0,0","0,8","0,0","0,2"
cart,long-services-offloaded,S-S,"0,0","0,0","0,0","0,0"
cart,no-offloading,S-S,"0,0","0,0","0,0","0,0"
cart,short-services-offloaded,S-S,"0,0","0,0","0,14285714285714285","0,8571428571428571"
