method,policy,target,L-L,L-S,M-M,M-S,S-L,S-S
test set,joint1,,"0,0","0,42857142857142855","0,0","0,5714285714285714","0,0","0,0"
test set,joint2,,"0,0","0,0","0,0","0,15789473684210525","0,8421052631578947","0,0"
test set,separated,,"0,0","0,045454545454545456","0,0","0,13636363636363635","0,8181818181818182","0,0"
prim,joint1,L-S,"0,0","0,8181818181818182","0,0","0,18181818181818182","0,0","0,0"
prim,joint2,L-S,"0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,L-S,"0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint1,M-S,"0,0","0,07692307692307693","0,0","0,9230769230769231","0,0","0,0"
prim,joint2,M-S,"0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,M-S,"0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint1,S-L,"0,0","0,4","0,0","0,6","0,0","0,0"
prim,joint2,S-L,"0,0","0,0","0,0","0,1111111111111111","0,8888888888888888","0,0"
prim,separated,S-L,"0,0","0,045454545454545456","0,0","0,13636363636363635","0,8181818181818182","0,0"
cart,joint1,L-S,"0,0","1,0","0,0","0,0","0,0","0,0"
cart,joint2,L-S,"0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,L-S,"0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint1,M-S,"0,0","0,0","0,0","1,0","0,0","0,0"
cart,joint2,M-S,"0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,M-S,"0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint1,S-L,"0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint2,S-L,"0,0","0,0","0,0","0,3333333333333333","0,6666666666666666","0,0"
cart,separated,S-L,"0,0","0,0","0,0","0,0","0,0","0,0"
