method,policy,target,pareto-efficient-sub-optimal,pareto-efficient-pareto-efficient,sub-optimal-pareto-efficient,sub-optimal-sub-optimal
test set,long-services-offloaded,,"0,0","0,0","0,0","1,0"
test set,no-offloading,,"0,0","0,4444444444444444","0,5555555555555556","0,0"
test set,short-services-offloaded,,"0,07142857142857142","0,6428571428571429","0,2857142857142857","0,0"
prim,long-services-offloaded,pareto-efficient-pareto-efficient,"0,0","0,0","0,0","0,0"
prim,long-services-offloaded,sub-optimal-pareto-efficient,"0,0","0,0","0,0","0,0"
prim,long-services-offloaded,sub-optimal-sub-optimal,"0,0","0,0","0,0","1,0"
prim,no-offloading,pareto-efficient-pareto-efficient,"0,0","0,0","0,0","0,0"
prim,no-offloading,sub-optimal-pareto-efficient,"0,0","0,4444444444444444","0,5555555555555556","0,0"
prim,no-offloading,sub-optimal-sub-optimal,"0,0","0,0","0,0","0,0"
prim,short-services-offloaded,pareto-efficient-pareto-efficient,"0,14285714285714285","0,8571428571428571","0,0","0,0"
prim,short-services-offloaded,sub-optimal-pareto-efficient,"0,0","0,0","0,0","0,0"
prim,short-services-offloaded,sub-optimal-sub-optimal,"0,0","0,0","0,0","0,0"
cart,long-services-offloaded,sub-optimal-sub-optimal,"0,0","0,0","0,0","1,0"
cart,no-offloading,sub-optimal-sub-optimal,"0,0","0,0","0,0","0,0"
cart,short-services-offloaded,sub-optimal-sub-optimal,"0,0","0,0","0,0","0,0"
